,attention,meditation,raw_value,timestamp
clip1,0,0,-653,4.961999893188477
clip1,0,0,-738,4.963000059127808
clip1,0,0,-809,4.963000059127808
clip1,0,0,-846,4.963000059127808
clip1,0,0,-867,4.96399998664856
clip1,0,0,-872,4.96399998664856
clip1,0,0,-871,4.964999914169312
clip1,0,0,-885,4.964999914169312
clip1,0,0,-859,4.966000080108643
clip1,0,0,-820,4.966000080108643
clip1,0,0,-795,4.9670000076293945
clip1,0,0,-786,4.9670000076293945
clip1,0,0,-744,5.000999927520752
clip1,0,0,-685,5.002000093460083
clip1,0,0,-630,5.002000093460083
clip1,0,0,-561,5.003000020980835
clip1,0,0,-475,5.003000020980835
clip1,0,0,-410,5.003999948501587
clip1,0,0,-378,5.003999948501587
clip1,0,0,-347,5.003999948501587
clip1,0,0,-298,5.004999876022339
clip1,0,0,-251,5.004999876022339
clip1,0,0,-213,5.00600004196167
clip1,0,0,-205,5.00600004196167
clip1,0,0,-195,5.00600004196167
clip1,0,0,-151,5.006999969482422
clip1,0,0,-109,5.006999969482422
clip1,0,0,-88,5.006999969482422
clip1,0,0,-74,5.007999897003174
clip1,0,0,-51,5.009000062942505
clip1,0,0,-21,5.009000062942505
clip1,0,0,1,5.009000062942505
clip1,0,0,18,5.026999950408936
clip1,0,0,22,5.026999950408936
clip1,0,0,12,5.027999877929688
clip1,0,0,23,5.0290000438690186
clip1,0,0,68,5.0290000438690186
clip1,0,0,118,5.0299999713897705
clip1,0,0,138,5.0299999713897705
clip1,0,0,137,5.0309998989105225
clip1,0,0,129,5.0309998989105225
clip1,0,0,117,5.040999889373779
clip1,0,0,108,5.04200005531311
clip1,0,0,101,5.042999982833862
clip1,0,0,106,5.042999982833862
clip1,0,0,124,5.043999910354614
clip1,0,0,138,5.043999910354614
clip1,0,0,145,5.045000076293945
clip1,0,0,136,5.045000076293945
clip1,0,0,121,5.046000003814697
clip1,0,0,114,5.046000003814697
clip1,0,0,122,5.069000005722046
clip1,0,0,132,5.069000005722046
clip1,0,0,133,5.069999933242798
clip1,0,0,138,5.069999933242798
clip1,0,0,133,5.071000099182129
clip1,0,0,131,5.071000099182129
clip1,0,0,140,5.071000099182129
clip1,0,0,154,5.072000026702881
clip1,0,0,150,5.072000026702881
clip1,0,0,133,5.072999954223633
clip1,0,0,133,5.078000068664551
clip1,0,0,139,5.078000068664551
clip1,0,0,147,5.078999996185303
clip1,0,0,153,5.078999996185303
clip1,0,0,148,5.079999923706055
clip1,0,0,134,5.079999923706055
clip1,0,0,132,5.081000089645386
clip1,0,0,140,5.081000089645386
clip1,0,0,133,5.081000089645386
clip1,0,0,118,5.082000017166138
clip1,0,0,122,5.101999998092651
clip1,0,0,131,5.102999925613403
clip1,0,0,130,5.102999925613403
clip1,0,0,120,5.104000091552734
clip1,0,0,117,5.105000019073486
clip1,0,0,105,5.105000019073486
clip1,0,0,92,5.105999946594238
clip1,0,0,74,5.105999946594238
clip1,0,0,66,5.10699987411499
clip1,0,0,75,5.10699987411499
clip1,0,0,97,5.117000102996826
clip1,0,0,114,5.118000030517578
clip1,0,0,114,5.11899995803833
clip1,0,0,117,5.11899995803833
clip1,0,0,114,5.119999885559082
clip1,0,0,102,5.119999885559082
clip1,0,0,90,5.121000051498413
clip1,0,0,99,5.121000051498413
clip1,0,0,113,5.121000051498413
clip1,0,0,123,5.121999979019165
